Name;Platform;Year_of_Release;Genre;Publisher;NA_Sales;EU_Sales;JP_Sales;Other_Sales;Global_Sales;Critic_Score;Critic_Count;User_Score;User_Count;Developer
Mario Kart 7;3DS;2011.0;Racing;Nintendo;5.03;4.02;2.69;0.91;12.66;85.0;73.0;8.2;632.0;Retro Studios, Entertainment Analysis & Development Division
Call of Duty: Black Ops;PS3;2010.0;Shooter;Activision;5.99;4.37;0.48;1.79;12.63;88.0;58.0;6.4;1094.0;Treyarch
Grand Theft Auto V;PS4;2014.0;Action;Take-Two Interactive;3.96;6.31;0.38;1.97;12.61;97.0;66.0;8.3;2899.0;Rockstar North
Animal Crossing: Wild World;DS;2005.0;Simulation;Nintendo;2.5;3.45;5.33;0.86;12.13;86.0;57.0;8.7;242.0;Nintendo
Halo 3;X360;2007.0;Shooter;Microsoft Game Studios;7.97;2.81;0.13;1.21;12.12;94.0;86.0;7.8;4100.0;Bungie Software, Bungie
Gran Turismo 4;PS2;2004.0;Racing;Sony Computer Entertainment;3.01;0.01;1.1;7.53;11.66;89.0;74.0;8.5;272.0;Polyphony Digital
Super Mario Galaxy;Wii;2007.0;Platform;Nintendo;6.06;3.35;1.2;0.74;11.35;97.0;73.0;8.9;2147.0;Nintendo
Grand Theft Auto IV;X360;2008.0;Action;Take-Two Interactive;6.76;3.07;0.14;1.03;11.01;98.0;86.0;7.9;2951.0;Rockstar North
Gran Turismo;PS;1997.0;Racing;Sony Computer Entertainment;4.02;3.87;2.54;0.52;10.95;96.0;16.0;8.7;138.0;Polyphony Digital
Super Mario 3D Land;3DS;2011.0;Platform;Nintendo;4.89;3.0;2.14;0.78;10.81;90.0;82.0;8.4;921.0;Nintendo
Gran Turismo 5;PS3;2010.0;Racing;Sony Computer Entertainment;2.96;4.82;0.81;2.11;10.7;84.0;82.0;7.5;1112.0;Polyphony Digital
Call of Duty: Modern Warfare 2;PS3;2009.0;Shooter;Activision;4.99;3.64;0.38;1.6;10.6;94.0;67.0;6.3;2073.0;Infinity Ward
Grand Theft Auto IV;PS3;2008.0;Action;Take-Two Interactive;4.76;3.69;0.44;1.61;10.5;98.0;64.0;7.5;2833.0;Rockstar North
Call of Duty: Ghosts;X360;2013.0;Shooter;Activision;6.73;2.56;0.04;0.91;10.25;73.0;29.0;2.6;2117.0;Infinity Ward
Just Dance 3;Wii;2011.0;Misc;Ubisoft;5.95;3.11;0.0;1.06;10.12;74.0;15.0;7.8;16.0;Ubisoft
New Super Mario Bros. 2;3DS;2012.0;Platform;Nintendo;3.66;3.14;2.47;0.63;9.9;78.0;70.0;7.2;424.0;Nintendo
Halo: Reach;X360;2010.0;Shooter;Microsoft Game Studios;7.04;1.95;0.08;0.79;9.86;91.0;99.0;7.9;2045.0;Bungie
Final Fantasy VII;PS;1997.0;Role-Playing;Sony Computer Entertainment;3.01;2.47;3.28;0.96;9.72;92.0;20.0;9.2;1282.0;SquareSoft
Halo 4;X360;2012.0;Shooter;Microsoft Game Studios;6.65;2.28;0.04;0.74;9.71;87.0;87.0;7.0;3260.0;343 Industries
Gran Turismo 2;PS;1999.0;Racing;Sony Computer Entertainment;3.88;3.42;1.69;0.5;9.49;93.0;23.0;9.0;135.0;Polyphony Digital
Just Dance 2;Wii;2010.0;Misc;Ubisoft;5.8;2.85;0.01;0.78;9.44;74.0;24.0;7.3;24.0;Ubisoft
Call of Duty: Ghosts;PS3;2013.0;Shooter;Activision;4.1;3.63;0.38;1.25;9.36;71.0;10.0;2.6;1047.0;Infinity Ward
Call of Duty 4: Modern Warfare;X360;2007.0;Shooter;Activision;5.93;2.36;0.13;0.9;9.31;94.0;70.0;8.4;1320.0;Infinity Ward
Animal Crossing: New Leaf;3DS;2012.0;Simulation;Nintendo;2.03;2.36;4.39;0.39;9.16;88.0;70.0;8.7;626.0;Nintendo
Mario Party DS;DS;2007.0;Misc;Nintendo;4.4;1.85;1.98;0.68;8.91;72.0;27.0;7.8;85.0;Hudson Soft
The Elder Scrolls V: Skyrim;X360;2011.0;Role-Playing;Bethesda Softworks;5.05;2.79;0.1;0.85;8.79;96.0;89.0;8.4;3589.0;Bethesda Game Studios
FIFA 16;PS4;2015.0;Sports;Electronic Arts;1.12;6.12;0.06;1.28;8.57;82.0;42.0;4.3;896.0;EA Sports
Halo 2;XB;2004.0;Shooter;Microsoft Game Studios;6.82;1.53;0.05;0.08;8.49;95.0;91.0;8.2;1218.0;Bungie Software
Wii Party;Wii;2010.0;Misc;Nintendo;1.75;3.47;2.49;0.67;8.38;68.0;42.0;7.4;54.0;Nd Cube
Mario Party 8;Wii;2007.0;Misc;Nintendo;3.74;2.24;1.58;0.7;8.27;62.0;41.0;6.3;190.0;Hudson
FIFA Soccer 13;PS3;2012.0;Action;Electronic Arts;1.06;5.01;0.13;1.97;8.16;88.0;37.0;6.6;348.0;Electronic Arts
Final Fantasy X;PS2;2001.0;Role-Playing;Sony Computer Entertainment;2.91;2.07;2.73;0.33;8.05;92.0;53.0;8.7;1056.0;SquareSoft
The Sims 3;PC;2009.0;Simulation;Electronic Arts;0.99;6.42;0.0;0.6;8.01;86.0;75.0;7.6;886.0;The Sims Studio
Final Fantasy VIII;PS;1999.0;Role-Playing;SquareSoft;2.28;1.72;3.63;0.23;7.86;90.0;24.0;8.6;644.0;SquareSoft
Pokémon Platinum Version;DS;2008.0;Role-Playing;Nintendo;2.76;1.72;2.69;0.54;7.72;83.0;46.0;8.5;203.0;Game Freak
Grand Theft Auto: Liberty City Stories;PSP;2005.0;Action;Take-Two Interactive;2.9;2.81;0.24;1.73;7.69;88.0;65.0;7.6;451.0;Rockstar Leeds
Call of Duty: Advanced Warfare;PS4;2014.0;Shooter;Activision;2.81;3.48;0.14;1.23;7.66;83.0;39.0;5.7;1443.0;Sledgehammer Games
FIFA 17;PS4;2016.0;Sports;Electronic Arts;0.66;5.75;0.08;1.11;7.59;85.0;41.0;5.0;398.0;EA Sports, EA Vancouver
Super Mario Galaxy 2;Wii;2010.0;Platform;Nintendo;3.56;2.35;0.98;0.62;7.51;97.0;87.0;9.1;1854.0;Nintendo EAD Tokyo
Call of Duty: World at War;X360;2008.0;Shooter;Activision;4.81;1.88;0.0;0.69;7.38;84.0;84.0;7.6;580.0;Treyarch
Battlefield 3;X360;2011.0;Shooter;Electronic Arts;4.46;2.11;0.06;0.69;7.32;84.0;57.0;7.4;2142.0;EA DICE
Need for Speed Underground;PS2;2003.0;Racing;Electronic Arts;3.27;2.83;0.08;1.02;7.2;85.0;33.0;8.6;171.0;EA Black Box
Just Dance;Wii;2009.0;Misc;Ubisoft;3.48;2.99;0.0;0.73;7.2;49.0;21.0;8.0;110.0;Ubisoft Paris
Battlefield 3;PS3;2011.0;Shooter;Electronic Arts;2.85;2.89;0.35;1.08;7.17;85.0;38.0;7.5;1761.0;EA DICE
Fallout 4;PS4;2015.0;Role-Playing;Bethesda Softworks;2.53;3.27;0.24;1.13;7.16;87.0;58.0;6.5;4228.0;Bethesda Game Studios
Tekken 3;PS;1998.0;Fighting;Sony Computer Entertainment;3.27;2.22;1.4;0.29;7.16;96.0;15.0;9.1;367.0;Namco
The Legend of Zelda: Twilight Princess;Wii;2006.0;Action;Nintendo;3.74;2.14;0.6;0.68;7.15;95.0;73.0;9.0;1658.0;Nintendo
Crash Bandicoot 3: Warped;PS;1998.0;Platform;Sony Computer Entertainment;3.68;1.75;1.42;0.28;7.13;91.0;12.0;8.9;432.0;Naughty Dog
Mario Kart 8;WiiU;2014.0;Racing;Nintendo;3.15;2.15;1.28;0.51;7.09;88.0;82.0;9.1;1599.0;Nintendo
Super Smash Bros. Melee;GC;2001.0;Fighting;Nintendo;4.41;1.04;1.39;0.22;7.07;92.0;38.0;9.1;568.0;HAL Labs
Need for Speed Underground 2;PS2;2004.0;Racing;Electronic Arts;2.71;3.02;0.08;1.09;6.9;82.0;39.0;8.6;132.0;EA Canada
Medal of Honor: Frontline;PS2;2002.0;Shooter;Electronic Arts;2.93;2.75;0.17;0.99;6.83;88.0;29.0;8.5;135.0;EA LA
Just Dance 4;Wii;2012.0;Misc;Ubisoft;4.05;2.16;0.0;0.55;6.76;74.0;10.0;7.3;28.0;Ubisoft
Gears of War 2;X360;2008.0;Shooter;Microsoft Game Studios;4.15;1.9;0.06;0.64;6.75;93.0;90.0;7.7;2739.0;Epic Games
Uncharted 3: Drake's Deception;PS3;2011.0;Action;Sony Computer Entertainment;2.77;2.75;0.19;1.03;6.74;92.0;97.0;8.3;3712.0;Naughty Dog
Call of Duty 4: Modern Warfare;PS3;2007.0;Shooter;Activision;3.11;2.26;0.28;1.03;6.68;94.0;44.0;8.4;993.0;Infinity Ward
Uncharted 2: Among Thieves;PS3;2009.0;Action;Sony Computer Entertainment;3.27;2.2;0.21;0.98;6.66;96.0;105.0;8.8;5187.0;Naughty Dog
Big Brain Academy;DS;2005.0;Misc;Nintendo;1.66;2.75;1.6;0.62;6.62;74.0;45.0;7.4;27.0;Nintendo
Red Dead Redemption;PS3;2010.0;Action;Take-Two Interactive;2.79;2.53;0.17;0.99;6.49;95.0;73.0;8.8;2456.0;Rockstar San Diego
FIFA 14;PS3;2013.0;Sports;Electronic Arts;0.78;4.24;0.07;1.37;6.47;86.0;37.0;4.3;576.0;EA Canada
Assassin's Creed III;PS3;2012.0;Action;Ubisoft;2.64;2.52;0.16;1.12;6.45;85.0;41.0;6.9;1307.0;Ubisoft
Donkey Kong Country Returns;Wii;2010.0;Platform;Nintendo;3.17;1.79;1.03;0.46;6.44;87.0;77.0;8.6;368.0;Retro Studios
Halo: Combat Evolved;XB;2001.0;Shooter;Microsoft Game Studios;4.98;1.3;0.08;0.07;6.43;97.0;68.0;8.6;1283.0;Bungie Software
The Elder Scrolls V: Skyrim;PS3;2011.0;Role-Playing;Bethesda Softworks;2.55;2.6;0.25;1.0;6.41;92.0;16.0;6.4;2527.0;Bethesda Game Studios
Pokémon Emerald Version;GBA;2004.0;Role-Playing;Nintendo;2.57;1.58;2.06;0.21;6.41;76.0;28.0;9.0;222.0;Game Freak
Kingdom Hearts;PS2;2002.0;Role-Playing;Sony Computer Entertainment;3.64;1.2;1.49;0.07;6.4;85.0;46.0;8.8;597.0;SquareSoft
Halo 3: ODST;X360;2009.0;Shooter;Microsoft Game Studios;4.34;1.34;0.06;0.61;6.34;83.0;94.0;7.1;1163.0;Bungie Software, Bungie
Red Dead Redemption;X360;2010.0;Action;Take-Two Interactive;3.7;1.95;0.09;0.58;6.32;95.0;96.0;9.0;2316.0;Rockstar San Diego
Super Mario Sunshine;GC;2002.0;Platform;Nintendo;4.01;1.26;0.87;0.17;6.31;92.0;61.0;8.6;439.0;Nintendo
World of Warcraft;PC;2004.0;Role-Playing;Activision;0.08;6.21;0.0;0.0;6.29;93.0;57.0;7.3;2182.0;Blizzard Entertainment
Driver;PS;1999.0;Action;GT Interactive;3.11;2.8;0.02;0.33;6.27;87.0;22.0;8.1;78.0;Reflections Interactive
Gears of War 3;X360;2011.0;Shooter;Microsoft Game Studios;4.05;1.59;0.07;0.5;6.21;91.0;96.0;7.8;1504.0;Epic Games
Kinect Sports;X360;2010.0;Sports;Microsoft Game Studios;3.92;1.73;0.03;0.51;6.19;73.0;51.0;7.4;95.0;Rare Ltd.
Gears of War;X360;2006.0;Shooter;Microsoft Game Studios;3.54;1.88;0.07;0.6;6.09;94.0;88.0;8.3;2295.0;Epic Games
FIFA 15;PS4;2014.0;Sports;Electronic Arts;0.8;4.33;0.05;0.9;6.08;82.0;47.0;5.7;988.0;EA Sports
Metal Gear Solid 2: Sons of Liberty;PS2;2001.0;Action;Konami Digital Entertainment;2.45;2.01;0.87;0.72;6.05;96.0;42.0;8.7;1026.0;KCEJ
Metal Gear Solid;PS;1998.0;Action;Konami Digital Entertainment;3.18;1.83;0.78;0.24;6.03;94.0;20.0;9.4;918.0;KCEJ
Metal Gear Solid 4: Guns of the Patriots;PS3;2008.0;Action;Konami Digital Entertainment;2.63;1.71;0.83;0.82;5.99;94.0;82.0;8.7;3558.0;Kojima Productions
Final Fantasy XII;PS2;2006.0;Role-Playing;Square Enix;1.88;0.0;2.33;1.74;5.95;92.0;64.0;7.6;972.0;Square Enix
The Last of Us;PS3;2013.0;Action;Sony Computer Entertainment Europe;2.41;2.18;0.28;0.99;5.87;95.0;98.0;9.1;8003.0;Naughty Dog
LittleBigPlanet;PS3;2008.0;Platform;Sony Computer Entertainment;2.8;1.98;0.17;0.87;5.82;95.0;85.0;6.8;5311.0;SCE/WWS, Media Molecule
Resident Evil 2;PS;1998.0;Action;Virgin Interactive;1.88;1.47;2.02;0.45;5.82;89.0;13.0;9.2;364.0;Capcom
Dragon Quest IX: Sentinels of the Starry Skies;DS;2009.0;Role-Playing;Nintendo;0.63;0.67;4.35;0.15;5.78;87.0;65.0;8.8;197.0;Level 5
Tekken 2;PS;1996.0;Fighting;Sony Computer Entertainment;2.26;1.89;1.36;0.23;5.74;89.0;8.0;8.9;102.0;Namco
Destiny;PS4;2014.0;Shooter;Activision;2.49;2.07;0.16;0.92;5.64;76.0;95.0;6.1;5380.0;Bungie Software, Bungie
LEGO Star Wars: The Complete Saga;Wii;2007.0;Action;LucasArts;3.57;1.55;0.0;0.51;5.64;80.0;17.0;8.9;62.0;Traveller's Tales
Cooking Mama;DS;2006.0;Simulation;505 Games;3.07;1.91;0.07;0.57;5.63;67.0;35.0;7.2;21.0;Taito Corporation
Assassin's Creed II;PS3;2009.0;Action;Ubisoft;2.54;1.93;0.21;0.86;5.55;91.0;70.0;8.6;1202.0;Ubisoft Montreal
Assassin's Creed;X360;2007.0;Adventure;Ubisoft;3.28;1.64;0.07;0.56;5.54;81.0;77.0;7.7;1074.0;Ubisoft Montreal
Forza Motorsport 3;X360;2009.0;Racing;Microsoft Game Studios;2.99;1.9;0.1;0.5;5.49;92.0;90.0;8.0;516.0;Turn 10
Super Mario Advance;GBA;2001.0;Platform;Nintendo;3.14;1.24;0.91;0.2;5.49;84.0;19.0;7.8;41.0;Nintendo
Monster Hunter Freedom Unite;PSP;2008.0;Role-Playing;Capcom;0.47;0.55;4.13;0.34;5.48;81.0;48.0;8.7;124.0;Capcom
Batman: Arkham City;PS3;2011.0;Action;Warner Bros. Interactive Entertainment;2.71;1.85;0.11;0.81;5.48;96.0;42.0;8.6;2162.0;Rocksteady Studios
Grand Theft Auto V;XOne;2014.0;Action;Take-Two Interactive;2.81;2.19;0.0;0.47;5.48;97.0;14.0;7.9;764.0;Rockstar North
Mario Kart: Super Circuit;GBA;2001.0;Racing;Nintendo;2.62;1.64;0.99;0.23;5.47;93.0;24.0;8.3;108.0;Intelligent Systems
Crash Bandicoot: The Wrath of Cortex;PS2;2001.0;Platform;Universal Interactive;2.07;2.29;0.24;0.82;5.42;66.0;22.0;7.1;156.0;Traveller's Tales
Call of Duty: World at War;PS3;2008.0;Shooter;Activision;2.73;1.83;0.0;0.83;5.39;85.0;45.0;7.6;409.0;Treyarch
Uncharted 4: A Thief's End;PS4;2016.0;Shooter;Sony Computer Entertainment;1.85;2.5;0.19;0.85;5.38;93.0;113.0;7.9;7064.0;Naughty Dog
Final Fantasy XIII;PS3;2009.0;Role-Playing;Square Enix;1.74;1.21;1.87;0.51;5.33;83.0;83.0;7.3;2483.0;Square Enix
Final Fantasy IX;PS;2000.0;Role-Playing;SquareSoft;1.62;0.77;2.78;0.14;5.3;94.0;22.0;8.9;779.0;SquareSoft
Assassin's Creed III;X360;2012.0;Action;Ubisoft;3.13;1.69;0.03;0.44;5.29;84.0;61.0;6.7;1196.0;Ubisoft
Final Fantasy X-2;PS2;2003.0;Role-Playing;Electronic Arts;1.92;1.08;2.11;0.17;5.29;85.0;45.0;6.6;400.0;SquareSoft
Call of Duty: Advanced Warfare;XOne;2014.0;Shooter;Activision;3.22;1.55;0.01;0.48;5.27;81.0;53.0;5.4;898.0;Sledgehammer Games
Assassin's Creed II;X360;2009.0;Action;Ubisoft;3.11;1.55;0.08;0.51;5.26;90.0;82.0;8.8;1305.0;Ubisoft Montreal
New Super Mario Bros. U;WiiU;2012.0;Platform;Nintendo;2.3;1.34;1.27;0.32;5.22;84.0;70.0;8.1;733.0;Nintendo
Dragon Quest VIII: Journey of the Cursed King;PS2;2004.0;Role-Playing;Square Enix;0.65;0.75;3.61;0.2;5.21;89.0;63.0;8.8;245.0;Level 5
Professor Layton and the Curious Village;DS;2007.0;Puzzle;Nintendo;1.21;2.43;1.03;0.52;5.19;85.0;72.0;8.6;147.0;Level 5
FIFA Soccer 13;X360;2012.0;Action;Electronic Arts;1.09;3.47;0.03;0.57;5.16;90.0;48.0;6.1;403.0;Electronic Arts
Diablo III;PC;2012.0;Role-Playing;Activision;2.44;2.16;0.0;0.54;5.14;88.0;86.0;4.0;9629.0;Blizzard Entertainment
Medal of Honor: Rising Sun;PS2;2003.0;Shooter;Electronic Arts;1.98;2.23;0.13;0.8;5.13;68.0;30.0;7.6;100.0;EA LA
Guitar Hero II;PS2;2006.0;Misc;RedOctane;3.81;0.63;0.0;0.68;5.12;92.0;69.0;8.5;112.0;Harmonix Music Systems
Fable III;X360;2010.0;Role-Playing;Microsoft Game Studios;3.59;1.08;0.05;0.38;5.1;80.0;88.0;6.5;604.0;Lionhead Studios
Resident Evil 5;PS3;2009.0;Action;Capcom;1.96;1.41;1.08;0.64;5.09;84.0;76.0;7.5;667.0;Capcom
The Legend of Zelda: Phantom Hourglass;DS;2007.0;Action;Nintendo;1.85;1.8;0.95;0.48;5.08;90.0;57.0;8.0;416.0;Nintendo
FIFA Soccer 11;PS3;2010.0;Sports;Electronic Arts;0.61;3.28;0.06;1.12;5.07;89.0;51.0;8.0;233.0;EA Sports
Resident Evil;PS;1996.0;Action;Virgin Interactive;2.05;1.16;1.11;0.73;5.05;91.0;8.0;9.0;266.0;Capcom
Grand Theft Auto: Vice City Stories;PSP;2006.0;Action;Take-Two Interactive;1.7;1.99;0.16;1.18;5.03;86.0;50.0;8.0;150.0;Rockstar Leeds
Tony Hawk's Pro Skater;PS;1999.0;Sports;Activision;3.42;1.38;0.02;0.2;5.02;92.0;18.0;9.2;69.0;Neversoft Entertainment
Guitar Hero III: Legends of Rock;PS2;2007.0;Misc;Activision;3.49;0.01;0.01;1.48;4.98;82.0;24.0;8.2;46.0;Neversoft Entertainment, BudCat
Link's Crossbow Training;Wii;2007.0;Shooter;Nintendo;3.05;1.17;0.29;0.46;4.98;68.0;34.0;7.1;47.0;Nintendo
Fallout 3;X360;2008.0;Role-Playing;Bethesda Softworks;3.4;0.99;0.09;0.45;4.93;93.0;84.0;8.5;1655.0;Bethesda Game Studios
Uncharted: Drake's Fortune;PS3;2007.0;Action;Sony Computer Entertainment;2.31;1.72;0.12;0.77;4.92;88.0;66.0;8.1;2306.0;Naughty Dog, SCE/WWS
Madden NFL 06;PS2;2005.0;Sports;Electronic Arts;3.98;0.26;0.01;0.66;4.91;88.0;29.0;8.0;121.0;EA Sports
StarCraft II: Wings of Liberty;PC;2010.0;Strategy;Activision;2.57;1.68;0.0;0.58;4.84;93.0;82.0;8.2;3052.0;Blizzard Entertainment
Assassin's Creed;PS3;2007.0;Adventure;Ubisoft;1.91;2.0;0.09;0.82;4.82;81.0;40.0;7.3;769.0;Ubisoft Montreal
God of War III;PS3;2010.0;Action;Sony Computer Entertainment;2.74;1.33;0.12;0.61;4.8;92.0;101.0;8.7;2633.0;SCE Santa Monica
Crash Team Racing;PS;1999.0;Racing;Sony Computer Entertainment;2.57;1.57;0.44;0.21;4.79;88.0;20.0;9.0;233.0;Naughty Dog
LEGO Star Wars: The Complete Saga;DS;2007.0;Action;LucasArts;2.83;1.48;0.0;0.45;4.76;80.0;9.0;5.4;46.0;TT Fusion
Driver 2;PS;2000.0;Action;Atari;2.36;2.1;0.02;0.25;4.73;62.0;14.0;7.7;92.0;Reflections Interactive
Batman: Arkham City;X360;2011.0;Action;Warner Bros. Interactive Entertainment;2.99;1.27;0.04;0.42;4.73;94.0;87.0;8.7;1472.0;Rocksteady Studios
Tony Hawk's Pro Skater 2;PS;2000.0;Sports;Activision;3.05;1.41;0.02;0.2;4.68;98.0;19.0;7.7;299.0;Neversoft Entertainment
The Lord of the Rings: The Two Towers;PS2;2002.0;Action;Electronic Arts;1.94;1.95;0.08;0.7;4.67;82.0;32.0;8.2;78.0;Stormfront Studios
Tomb Raider;PS;1996.0;Action;Eidos Interactive;2.29;1.97;0.13;0.24;4.63;91.0;13.0;8.6;147.0;Core Design Ltd.
Animal Crossing: City Folk;Wii;2008.0;Simulation;Nintendo;1.82;1.12;1.32;0.36;4.62;73.0;50.0;7.6;119.0;Nintendo
Uncharted: The Nathan Drake Collection;PS4;2015.0;Action;Sony Computer Entertainment;2.07;1.71;0.08;0.76;4.62;86.0;78.0;8.1;1264.0;Bluepoint Games
The Legend of Zelda: The Wind Waker;GC;2002.0;Action;Nintendo;2.6;0.99;0.89;0.13;4.6;96.0;80.0;8.9;968.0;Nintendo
Guitar Hero III: Legends of Rock;Wii;2007.0;Misc;Activision;3.04;1.11;0.0;0.43;4.6;86.0;36.0;8.4;87.0;Vicarious Visions
Luigi's Mansion: Dark Moon;3DS;2013.0;Action;Nintendo;1.8;1.39;1.11;0.29;4.59;86.0;74.0;8.4;458.0;Next Level Games
Forza Motorsport 4;X360;2011.0;Racing;Microsoft Game Studios;2.08;1.97;0.06;0.46;4.57;91.0;83.0;8.2;617.0;Turn 10
Madden NFL 2005;PS2;2004.0;Sports;Electronic Arts;4.18;0.26;0.01;0.08;4.53;91.0;30.0;7.9;78.0;EA Tiburon
Guitar Hero III: Legends of Rock;X360;2007.0;Misc;Activision;3.19;0.91;0.01;0.42;4.53;85.0;69.0;7.9;165.0;Neversoft Entertainment
Madden NFL 07;PS2;2006.0;Sports;Electronic Arts;3.63;0.24;0.01;0.61;4.49;84.0;29.0;8.2;39.0;EA Sports
Halo 5: Guardians;XOne;2015.0;Shooter;Microsoft Game Studios;2.78;1.27;0.03;0.41;4.48;84.0;101.0;6.4;2438.0;343 Industries
Spider-Man: The Movie;PS2;2002.0;Action;Activision;2.71;1.51;0.03;0.23;4.48;76.0;25.0;7.9;41.0;Treyarch
Call of Duty: Infinite Warfare;PS4;2016.0;Shooter;Activision;1.61;2.0;0.15;0.71;4.46;77.0;82.0;3.4;1129.0;Infinity Ward
God of War;PS2;2005.0;Action;Sony Computer Entertainment;2.71;1.29;0.02;0.43;4.45;94.0;75.0;8.9;997.0;SCE Santa Monica
Splatoon;WiiU;2015.0;Shooter;Nintendo;1.54;1.18;1.46;0.26;4.43;81.0;88.0;8.5;1184.0;Nintendo
Nintendo Land;WiiU;2012.0;Misc;Nintendo;2.52;1.11;0.46;0.33;4.42;77.0;61.0;7.9;471.0;Nintendo
Tony Hawk's Pro Skater 3;PS2;2001.0;Sports;Activision;2.66;1.29;0.01;0.46;4.41;97.0;34.0;7.5;298.0;Neversoft Entertainment
Winning Eleven: Pro Evolution Soccer 2007;PS2;2006.0;Sports;Konami Digital Entertainment;0.1;2.39;1.05;0.86;4.39;86.0;19.0;8.9;33.0;Konami
The Elder Scrolls IV: Oblivion;X360;2006.0;Role-Playing;Take-Two Interactive;2.82;1.03;0.13;0.4;4.38;94.0;90.0;8.7;1109.0;Bethesda Softworks
Need for Speed: Most Wanted;PS2;2005.0;Racing;Electronic Arts;2.03;1.79;0.08;0.47;4.37;82.0;36.0;9.1;137.0;EA Canada
Michael Jackson: The Experience;Wii;2010.0;Misc;Ubisoft;2.64;1.33;0.01;0.39;4.36;56.0;37.0;8.3;31.0;Ubisoft Paris, Ubisoft Montpellier
Resistance: Fall of Man;PS3;2006.0;Shooter;Sony Computer Entertainment;1.74;1.72;0.14;0.75;4.34;86.0;70.0;8.1;715.0;Insomniac Games
